,txt,sentiment,num_of_words
58,"hunting the hard way: thia was a gift for my husband, who loved the book. it arrived on the date we were told it would.",1,25
84,voices from the farm: i have a copy of this book and love it and can't wait til the revised version comes out in a few weeks,1,27
99,"caution!: these tracks are not the ""original"" versions but are re-recorded versions. so, whether the tracks are ""remastered"" or not is irrelevant.",0,22
100,textbook: book shipped quickly and was in excellent condition as stated. easy transaction would buy again,1,16
135,great graphics!: 2006 coast to coast for pc is great! the graphics are awesome... the game is what i had hoped for and a lot more!!,1,26
169,"awesume! best blocks ever!: this toy was our grandson's favorite, so i just had to find it again for our newest grandchild. thank goodness for online shopping.",1,27
204,haven't found better yet...: this is the only product that can manage my hair without making it stiff or sticky.,1,20
243,it was great!!!: i like it. it was very cool to read about vampires and other legendary cratures of the night.,1,21
269,"dockers do the job.: this product was just what i was hoping for, and i had no problem with shipping. i highly recommend this product.",1,25
334,awesome: this is probably the best essay i have ever read. it has defined my political reviews still today. it's a work of true romanticism.,1,25
352,"amazing: i loved this book. heart pounding romance and action, keep you going though the whole storie. i say this is a must read!",1,24
360,"great reading: christine feehan does it again, for all of you that have only read this one book by her, i strongly suggest that you read them all!",1,28
370,"good deal and fast shipping: i bought this book used and it was in very good condition. also, i received it within a week, which was nice.",1,27
373,love scarpetta: you have to love the scarpetta series by cornwell. this is an excellent story full of suspense and humor.,1,21
414,gift: i bought this for a christmas present for my son. it arrived in perfect condition. he loves adam sandler and collects all his movies.,1,25
446,good value: i love curve and this is a large bottle which make is a very good value. highly recommended.,1,20
461,just awful: this was possibly the worst book i have ever read. i am amazed by the number of fans for this kind of rubbish.,0,25
493,"no lessons learned: this is one of the most disappointing purchases i have made on amazon.the book is one long, myopic, libertarian apology.",0,23
578,"squeem: i ordered according to the size chart for my measurements and it was way to small!! very uncomfortable.i returned it,",0,21
595,"pass: the sizes run really small, it flips up even though, they said it would not and the hooks don't hold. i am very dissapointed.",0,25
641,squeem: love this product. i wear it when i am doing my cardio to help with weight loss. it is true to size.,1,23
659,very good: this product is awesome. it hide all your secrets. i would recommend this product to all women and men. i will buy product again.,1,26
660,"it worked for me..: thought this was not going to fit because i am a 44"" currently and i only ordered xl.. like it very much",1,26
661,"not what i expected: this product was not what i expected so i returned it. too tight, sizing was misleading. i'll stick with my spanx.",0,25
662,too small: usually a size xs to s but this girdle's small did not fit true to size. had to return back to amazon.,0,24
668,awesome!: this cd is amazing. i am very sad that 107.7 the x in birmingham is no longer. they made a great cd to benefit a great cause.,1,28
