,txt,sentiment,num_of_words
461,just awful: this was possibly the worst book i have ever read. i am amazed by the number of fans for this kind of rubbish.,0,25
493,"no lessons learned: this is one of the most disappointing purchases i have made on amazon.the book is one long, myopic, libertarian apology.",0,23
578,"squeem: i ordered according to the size chart for my measurements and it was way to small!! very uncomfortable.i returned it,",0,21
732,the scarlett letter: written in old english. it was very hard to read as i had to think through most sentences to figure out what was being said.,0,28
852,don't read this book!!: this book sux! who cares about pearl anyways! someone shoot me in the head before i die of boredom!!!,0,23
913,not user friendly: the dish is not easy to take apart for cleaning and i wish i could put in it the microwave.,0,23
1134,"don't buy it!: ever since i bought this and charged my ibook with it, my ibook hasn't worked! don't buy it.",0,21
1144,"it stopped working after a few weeks: it worked well for a few weeks, but then the battery of my ibook g4 stopped being re-charged.",0,25
1256,"does not work: i purchased this product and the dvd's don't even work. i can't even use them. i get nothing,no picture,nothing.",0,22
1365,broken: i was not even able to use this item because it tore upon putting it together. do not buy this item!,0,22
1377,not what i was anticipating: thought it was a picture book of the fiords.... that's what happens sometimes when you cannot actually touch a book...,0,25
1397,did not like at all.: i just did not like the story line.ii was not able to get into the story. didn't even finish the book.,0,26
1654,"sad: what happened to the amazing charlie mars from like a bird, like a plane?? that was an incredible haunting deep pleasing album. this is not :(",0,27
1696,broken: when the tool set arrived it was okay..smaller than i thought but mostly one of the tools was broken so it made the set not acceptable.,0,27
1957,"not very good: i don't remember this movie, so i know it was bad. i probably did not watch the whole thing. bad production, bad acting",0,26
2042,lame: recipes are a bit strange and not easy to follow. i wouldn't recomment this book at this time for anyone serious about cooking.,0,24
2162,"bratz helmet: when i ordered this product, i didn't see a size chart and i was sent a size that is not suitable for the purpose intended.",0,27
2263,"zzzzzzzzzz.....snooze-fest: great, another socially aware electro-dance record. i can't wait for the an iraqi to come out with one about the current us led invasion.",0,25
2364,the autobiography of my mother: did not really get lost in there book....found it boring....and i really wanted to stop reading it! but chose to painstakingly finish it..,0,28
2365,the autobiography of my mother: it's not a book i'll ever read again. it was very boring. glad i didn't pay that much. i give it a star.,0,28
2478,don't buy: this is the worst recording of nirvana i have ever heard! the entire thing sounds horrible. don'buy it!!,0,20
2819,"dont waste your time: uninteresting and boring, the story accomplishes nothing from start to finish. save your time and money and dont bother with this book.",0,26
2833,"dark moon: not what i expected, the first transformers was the best. the special effects was great but acting was not, too bad.",0,23
2877,enough already: two of these movies was plenty. the hot girl was so ridiculously hot as to be unbelievable and not in a good way.,0,25
2921,a time waster: this is one of the worst movies i've ever seen. poor shia has to have a high paid model to make his acting look better.,0,28
3101,":0( booo!: first the acting was so so so bad the movie, this is what i have to say ?but they get e for effort.",0,25
3264,white suspenders: the suspenders i ordered were just what i was looking for and they were delivered in a timely fashion in time for my boyfriend's birthday!,0,27
3412,"not what i expected: i purchased this for my granddaughter, we love reading together. the print was way to small and no way to make it bigger.",0,27
3514,"trite, simple, unimaginative: what more can i say? the mule? give me a break. how can anyone consider this to be great fiction? go read something else....",0,27
