txt,sentiment,num_of_words
"nothing wrong with it except...: i got this and the first thing i noticed is that the usb interface was bent, like if someone did it with pliers. i fixed it with a butter knife, but i didn't like the fact that i had to do this..",0,47
don't bother: i read the first few chapters and didn't care for this book at all. the wording was not something i cared for. i took a chance for $.99!,0,30
"speed loader???: i never use this ""speed loader"" because i find it speedier to load by hand. probably good in a gun fight but for the range, i will use my hands.",0,32
"awful: almost pointless video. the majority of the time they discuss investing down in the keys or florida, this video was obviously made during the real estate boom in florida, i can now see why florida is in so much trouble. anytime you have ""real estate investors"" like these people you're bound to create problems. no information on multi family.",0,60
"awful - always drops out - junk: headphones have terrible design - do not sit in ears, always drop out. i cannot use it. do not loose your money.",0,29
"i do not open, but this is why it gets a one star review...: hello?! amazon? what is going on? how old, what weight/height should my child be prior to using the seat? or when should my child not be allowed on it!? when it breaks and somehow harms my child? have these been recalled?until further information is posted; amazon, i am shaking my head in disgust and surprise...",0,69
"few words to describe how bad...: i have never written a review for a book before and have read a few hundred books over the last few years. this by far is the worst novels ever put in print and deserves to be outed. i am not even sure that the publisher should not be punished for allowing this to go to market. there is no real story and jason plays almost no part in this book. it is almost as if the writer took out a thesaurus and scrambled the most complicated words and ""created"" a book. i could not even begin to explain any portion of the several senseless ramblings of stories that make up this book.",0,119
"disgusting: this book is digusting. one of the reviewers says ""this is what makes gay men gay"". ay mi dios! it's more like ""this is why society hates us"". two men with no restraint or reserve, who will do anybody anywhere. the weirder or kinkier the better. out in public, no concern for their hiv+ status.it is scary to think that some gay men operate this way. i could barely finish the book did but and will now throw in the trash as i don't want anyone else to read this.",0,91
"expired after 3 months: i had the same experience as the previous 1 star user. this was a replacement for the identical product which lasted 7 years. this unit lasted 3 months (it beeped once occasionally even though the test was fine). we replaced the battery, blew compressed air into the unit as is recommended in troubleshooting guides, to no avail. unfortunately we no longer have the box to return it since it has a 5 year warranty.",0,78
"grave disappointment of cruz smith: i am more than an avid fan of mr. martin cruz smith. i own a complete collection of his works. either i read the book hype wrong or else i have mis-judged mr. cruz smith's ability as a writer. except for the excerpts by established time honored writers: mark twain, sir arthur conan doyle, guy de maupassant, i find the book mundane, deplorable and a disappointment that mr. cruz smith attached his name to it. i found bad usage of grammar, stories that lost the development of the plot, confusion of character identification (frederick ?)and just poor mystery writing overall.amaturism personified. mr. cruz smith, did you read the book before you affixed your name to it? i will gladly sell it if i thought i could recoup my costs. this shakes my confidence in mr. cruz smiths future writings and whether or not i may purchase them.",0,152
"a real stupid book: one of the most boring and stupid books i`ve read in a long time. full of ignorant remarks. from mr clancys observation that asian girls like westerners because they are better ""equipped"" than the asian males, via people saying comrade doctor etc to each other in russia, ten years after the soviet unions fall, to the ""fact"" that american girls are slimmer and healthier than the rest of the world(when we know that they are sicker due to overweight than the rest of the world). well, a writer can write about his white supremacy but when he writes as boring as tom clancy does in this book it gets completely uninteresting. just pure typewriting and after 350 pages i had to give up.  yes, and i spell terrible...",0,133
"horrible: this cd let me down so much. i havent really like staind since break the cycle but i thought disfunction and tormented were amazing so i always give them a chance. i figured maybe staind had gone back to the more heavier songs but nope. it also seems like a lot of the songs on here sound alike. if you ask me do not buy this cd, total waste of money.",0,72
"disappointing: have been looking forward to this cd for 14 months! it was august of last year when ludacris was talking about chicken and beer from the stage during anger management tour. well, then it was supposed to come out and they kept pushing it back...until now! guess he kept trying to improve it and finally gave up. this ain't nearly as good as his others. weak beats, weak raps, weak overall energy wise. stand up is the catchiest outta 17 tracks and it ain't that great. the song with snoop is just dreadful. why would snoop let himself get hooked up w/that track?",0,104
wack: a damn shame!!!!!!!!!!!!!!!!!!!!!!!!!!!! a fake odb of the wu tang clan. i highly doubt the a&r still works for the label. this could cd have only sold 2 copies :to him and his mama!!!!!!!!!!!,0,35
