Unnamed: 0,txt,sentiment,num_of_words,anon_txt,anon_txt_history,num_replaced,num_lemmatized,num_protected,num_no_change,force_anon_txt,neigbors,num_of_words_after_forcing,num_of_deleting_after_forcing
99,"caution!: these tracks are not the ""original"" versions but are re-recorded versions. so, whether the tracks are ""remastered"" or not is irrelevant.",0,22,"caution ! : these track are not the "" original "" version but are re - recorded version . so , there the track are "" remastere "" or not is irrelevant .","caution!: (these) {track} (are) (not) (the) [any] {version} (but) (are) {rerecorde} {version} (so,) [there] (the) {track} (are) {remastere} (or) (not) (is) [any] ",3,6,11,2,"* ! : these * are not the "" original "" version but are re - record version . so , there the * are "" * "" or not is * .","[0, 298]",18,5
461,just awful: this was possibly the worst book i have ever read. i am amazed by the number of fans for this kind of rubbish.,0,25,just worse : this was there the there book i have this read . i am amazed by the number of fan for this kind of rubbish .,(just) [worse] (this) (was) [there] (the) {bad} [any] (i) (have) [this] [any] (i) (am) {amaze} (by) (the) [any] (of) {fan} (for) (this) [any] (of) [any] ,8,3,14,0,just * : this was there the there book i have this read . i am * by the * of fan for this * of * .,"[1, 260]",20,5
493,"no lessons learned: this is one of the most disappointing purchases i have made on amazon.the book is one long, myopic, libertarian apology.",0,23,"no lesson speak : this is one of the most upsetting includes i have there on amazon.the book is one long , vapid , libertarian apology .",(no) {lesson} {learn} (this) (is) [any] (of) (the) (most) [upsetting] {purchase} (i) (have) {make} (on) amazon.the [any] (is) [any] [any] [vapid] libertarian apology. ,6,4,10,3,"no * * : this is * of * most upsetting include i have there on *.* book is * * , * , * * .","[2, 239]",13,11
578,"squeem: i ordered according to the size chart for my measurements and it was way to small!! very uncomfortable.i returned it,",0,21,"squeem : i order accord to the size chart for my measurement and it was there to small ! ! very uncomfortable.i return it ,","squeem: (i) {order} {accord} (to) (the) size [any] (for) (my) {measurement} (and) (it) (was) [there] (to) [any] (very) uncomfortable.i {return} (it,) ",3,4,10,4,"* : i order * to the size * for my * and it was there to small ! ! very *.i return it ,","[3, 246]",17,5
595,"pass: the sizes run really small, it flips up even though, they said it would not and the hooks don't hold. i am very dissapointed.",0,25,"pass : the size there there small , it bag up even there , they say it there not and the hook do not there . i am very dissapointed .",[any] (the) {size} [there] [there] [any] (it) {flip} (up) [any] [there] (they) {say} (it) [there] (not) (and) (the) {hook} (don't) [there] (i) (am) (very) {dissapointe} ,8,5,11,1,"* : the * there there small , it bag up * there , they * it there not and the * do not there . i am very * .","[4, 356]",20,6
661,"not what i expected: this product was not what i expected so i returned it. too tight, sizing was misleading. i'll stick with my spanx.",0,25,"not what i there : this includes was not what i there so i return it . too tight , size was misleading . i will throw with my spanx .",(not) (what) (i) {expect} (this) [includes] (was) (not) (what) (i) {expect} (so) (i) {return} (it.) (too) [any] {size} (was) {mislead} {I} [throw] (with) (my) spanx. ,3,6,14,2,"not what i there : this include was not what i there so i * it . too * , * was * . i will throw with my * .","[5, 56]",21,5
662,too small: usually a size xs to s but this girdle's small did not fit true to size. had to return back to amazon.,0,24,too small : rarely a size xs to s but this girdle 's small did not fit true to size . had to return back to amazon .,(too) [any] [rarely] (a) size xs (to) (s) (but) (this) {girdle} [any] (did) (not) [any] [any] (to) size. (had) (to) [any] [any] (to) [any] ,8,1,12,3,too small : rarely a size * to s but this * 's small did not * * to size . had to * * to * .,"[6, 228]",18,7
730,boring....ridiculously long chapters.: the book i downloaded on my nook and kindle doesnt seem like the same one i read in school. this version bored me to tears.,0,28,bore .... ridiculously long chapter . : the book i download on my nook and kindle does not seem there the same one i read in school . this version bore me to tear .,boring....ridiculously [any] {chapter} (the) [any] (i) {download} (on) (my) [any] (and) [any] {do} [any] [there] (the) (same) [any] (i) [any] (in) [any] (this) [any] {bore} (me) (to) {tear} ,10,5,12,1,* .... * * * . : the book i download on my * and kindle does not * there the same * i read in * . this * * me to * .,"[7, 212]",19,11
732,the scarlett letter: written in old english. it was very hard to read as i had to think through most sentences to figure out what was being said.,0,28,the collins letter : write in there english . it was very hard to read as i had to there through most sentence to figure out what was being say .,(the) [collins] [any] {write} (in) [there] [any] (it) (was) (very) [any] (to) [any] (as) (i) (had) (to) [there] (through) (most) {sentence} (to) [any] (out) (what) (was) (being) {say} ,8,3,17,0,the collin * : write in there * . it was very hard to * as i had to there through most * to * out what was being * .,"[8, 220]",22,6
913,not user friendly: the dish is not easy to take apart for cleaning and i wish i could put in it the microwave.,0,23,not user friendly : the bubble is not easy to there apart for cleaning and i wish i there put in it the microwave .,(not) [any] friendly: (the) [bubble] (is) (not) [any] (to) [there] [any] (for) {clean} (and) (i) [any] (i) [there] [any] (in) (it) (the) [oven] ,9,1,12,1,not * * : the * is not easy to there * for * and i * i there put in it the * .,"[9, 798]",16,7
