Unnamed: 0,txt,sentiment,num_of_words,anon_txt,anon_txt_history,num_replaced,num_lemmatized,num_protected,num_no_change,force_anon_txt,num_of_words_after_forcing,num_of_deleting_after_forcing
461,just awful: this was possibly the worst book i have ever read. i am amazed by the number of fans for this kind of rubbish.,0,25,just awful : this was there the bad book i have ever read . i am amazed by the number of fan for this kind of rubbish .,(just) awful: (this) (was) [there] (the) {bad} (book) (i) (have) (ever) (read.) (i) (am) {amaze} (by) (the) (number) (of) {fan} (for) (this) (kind) (of) rubbish. ,1,3,18,3,just * : this was there * bad book i have ever read . i am * by * number of * for this kind of * .,19,6
493,"no lessons learned: this is one of the most disappointing purchases i have made on amazon.the book is one long, myopic, libertarian apology.",0,23,"no lesson learn : this is one of the most disappointing includes i have made on amazon.the book is one long , misanthropic , libertarian apology .","(no) {lesson} {learn} (this) (is) (one) (of) (the) (most) disappointing {purchase} (i) (have) (made) (on) amazon.the (book) (is) (one) (long,) [misanthropic] libertarian apology. ",1,3,14,5,"no * learn : this is one of * most * include i have made on *.* book is one long , * , * * .",16,8
578,"squeem: i ordered according to the size chart for my measurements and it was way to small!! very uncomfortable.i returned it,",0,21,"squeem : i order accord to the size chart for my measurement and it was way to small ! ! very uncomfortable.i announced it ,","squeem: (i) {order} {accord} (to) (the) (size) (chart) (for) (my) {measurement} (and) (it) (was) (way) (to) (small!!) (very) uncomfortable.i {return} (it,) ",0,4,13,4,"* : i order * to the size chart for my * and it was way to small ! ! very *.i * it ,",17,5
732,the scarlett letter: written in old english. it was very hard to read as i had to think through most sentences to figure out what was being said.,0,28,the rebecca letter : written in old english . it was very hard to read as i had to think through most sentence to figure out what was being said .,(the) [rebecca] (letter:) (written) (in) (old) english. (it) (was) (very) (hard) (to) (read) (as) (i) (had) (to) (think) (through) (most) {sentence} (to) (figure) (out) (what) (was) (being) (said.) ,1,1,23,3,the * letter : written in old * . it was very hard to read as i had to think through most sentence to figure out what was being said .,26,2
852,don't read this book!!: this book sux! who cares about pearl anyways! someone shoot me in the head before i die of boredom!!!,0,23,do not read this book ! ! : this book sux ! who care about pearl anyways ! there shoot me in the head before i die of boredom ! ! !,(don't) (read) (this) (book!!:) (this) (book) sux! (who) {care} (about) pearl anyways! [there] shoot (me) (in) (the) (head) (before) (i) (die) (of) boredom!!! ,1,1,14,7,do not read this book ! ! : this book * ! who care about * * ! there * me in the head before i die of * ! ! !,19,5
913,not user friendly: the dish is not easy to take apart for cleaning and i wish i could put in it the microwave.,0,23,not user friendly : the dish is not self to take apart for cleaning and i wish i could put in it the microwave .,(not) user friendly: (the) dish (is) (not) [self] (to) (take) apart (for) {clean} (and) (i) (wish) (i) (could) (put) (in) (it) (the) microwave. ,1,1,16,5,not * * : the * is not self to take * for * and i wish i could put in it the * .,17,6
1134,"don't buy it!: ever since i bought this and charged my ibook with it, my ibook hasn't worked! don't buy it.",0,21,"do not buy it ! : ever since i bought this and charge my ibook with it , my ibook has not work ! do not buy it .","(don't) (buy) (it!:) (ever) (since) (i) (bought) (this) (and) {charge} (my) ibook (with) (it,) (my) ibook (hasn't) {work} (don't) (buy) (it.) ",0,2,11,8,"do not buy it ! : ever since i bought this and charge my ibook with it , my ibook has not work ! do not buy it .",24,0
1144,"it stopped working after a few weeks: it worked well for a few weeks, but then the battery of my ibook g4 stopped being re-charged.",0,25,"it stop work after a few week : it work well for a few week , but then the battery of my ibook g4 stop being re - charge .",(it) {stop} {work} (after) (a) (few) {week} (it) {work} (well) (for) (a) (few) {week} (but) (then) (the) battery (of) (my) ibook g4 {stop} (being) {recharge} ,0,7,15,3,"it stop work after a few week : it work well for a few week , but then the * of my ibook * stop being re - charge .",24,2
1256,"does not work: i purchased this product and the dvd's don't even work. i can't even use them. i get nothing,no picture,nothing.",0,22,"does not work : i includes this product and the hd 's do not even work . i can not even use them . i get nothing , no picture , nothing .","(does) (not) (work:) (i) {purchase} (this) (product) (and) (the) {dvd} (don't) (even) (work.) (i) {can} (even) (use) (them.) (i) (get) nothing,no {picturenothe} ",0,4,13,5,"does not work : i include this product and the * 's do not even work . i can not even use them . i get nothing , no picture , nothing .",26,1
1365,broken: i was not even able to use this item because it tore upon putting it together. do not buy this item!,0,22,break : i was not even able to use this item because it tear through put it together . do not buy this item !,{break} (i) (was) (not) (even) (able) (to) (use) (this) item (because) (it) {tear} [through] {put} (it) (together.) (do) (not) (buy) (this) item! ,1,3,15,3,break : i was not even able to use this * because it * through put it together . do not buy this * !,19,3
1377,not what i was anticipating: thought it was a picture book of the fiords.... that's what happens sometimes when you cannot actually touch a book...,0,25,not what i was anticipate : thought it was a picture book of the fiord .... that be what happen sometimes when you can not there touch a book ...,(not) (what) (i) (was) {anticipate} (thought) (it) (was) (a) (picture) (book) (of) (the) {fiord} {that} (what) {happen} sometimes (when) (you) {can} [there] (touch) (a) (book...) ,1,5,17,2,not what i was * : thought it was a picture book of the * .... that be what happen * when you can not there touch a book ...,24,3
1397,did not like at all.: i just did not like the story line.ii was not able to get into the story. didn't even finish the book.,0,26,did not like at all . : i just did not like the story line.ii was not able to get into the story . did not even finish the book .,(did) (not) (like) (at) (all.:) (i) (just) (did) (not) (like) (the) (story) line.ii (was) (not) (able) (to) (get) (into) (the) (story.) (didn't) (even) (finish) (the) (book.) ,0,0,21,5,did not like at all . : i just did not like the story *.* was not able to get into the story . did not even finish the book .,26,2
1654,"sad: what happened to the amazing charlie mars from like a bird, like a plane?? that was an incredible haunting deep pleasing album. this is not :(",0,27,"sad : what happen to the amazing rebecca mar from like a bird , like a plane ? ? that was an incredible haunting deep pleasing album . this is not :(","sad: (what) {happen} (to) (the) amazing [rebecca] {mar} (from) (like) (a) (bird,) (like) (a) (plane??) (that) (was) (an) incredible {haunt} (deep) pleasing album. (this) (is) (not) :( ",1,3,15,8,"sad : what happen to the amazing * * from like a bird , like a plane ? ? that was an * * deep * * . this is not :(",20,6
