text,annon_sents,neigbors
textbook: book shipped quickly and was in excellent condition as stated. easy transaction would buy again,"used library book, but still in good condition. book came quickly and was cheap. overall good deal!","[0, 546, 933]"
janes all the worlds aircraft 1996-7: great to deal with. very quick delivery. very highly recommended. thank you.,janes all the worlds aircraft 1996-7: great to deal with. very quick delivery. very highly recommended.,"[1, 200, 713]"
edge of danger: 1 star - only because that's the minimum.this book proves the famous can publish anything.,this claptrap would have never been published had the author not been black and female. the plot lines are distinctly implausible ,"[2, 526, 934]"
"a disappointment: maeve's forte is character development, dialogue, and interaction, and silver wedding was far below her usual standard.","the movie has a very weak storyline, loosely linked chapters, total disappointment from a good cast. it was definitely not a classic","[3, 367, 989]"
frida's more attractive soundtrack sister: utterly amazing and unique sound. her voice is so powerful.,i love enya's work and this cd is exceptional. my son is thoroughly enjoying this audio version of the music found,"[4, 243, 285]"
awesome.: what can i say about this album that hasn't already been said? nothing. awesome album on every level.,the things this man can do is amazing. this cd is incredible. exciting the whole way through.,"[5, 518, 126]"
"great: wishmaster is a fantastic album, that should grace everyone's music collection. innovating and always refreshing. truly a masterpiece.","wishmaster is a fantastic album, that should grace everyone's music collection. truly a masterpiece.","[89, 297, 6]"
like the critics say: riveting!: the book was great. i can't wait for the next one. definitely captivating.,schlossstein has made a compelling and truly thought provoking thriller given the times we are in!!,"[7, 884, 264]"
dont know!: the program looks fun but the software i recieved was corupt it wont load on any machine.,the program looks fun but the software i recieved was corupt it wont load on any machine.,"[8, 410, 895]"
bad cover condition: bad cover. half of the book is ruined because the spine has come unglued...false product description!,half of the book is ruined because the spine has come unglued...false product description!. the seat covers started coming loose at the,"[9, 160, 159]"
"completement nul: fait sur commande et ennuyant a mourir, cette album est tout a fait parfait pour s'endormir...nul!",jeanthe bomba factorynina laresllayalilina santiagogerardogruv stationel guero,"[10, 573, 714]"
"action: lots of action, but totally unbelievable, just like watching wrestling. amusing enough to watch but not to own.","action: lots of action, but totally unbelievable, just like watching wrestling. amusing enough to watch but not to own. formulaic. dull. in","[11, 802, 817]"
malfunction after short time: the camcorder worked only a couple of times.then the playback picture was totally .......,the camcorder worked only a couple of times.then the playback picture was totally........,"[12, 218, 584]"
worse than stevia.: mild sweeetness - though ultimately tastes like soap - or something reminiscent of soap.,mild sweeetness - though ultimately tastes like soap - or something reminiscent of soap.,"[13, 567, 697]"
horrible lieutenant: worst nicholas cage movie ever made. see the harvey keitel version for a great watch.,"horrible lieutenant: worst nicholas cage movie ever made. poorly acted, filmed, edited, and scripted.","[14, 646, 601]"
"this is where ""road-rage"" originates!: if you worry about how much you pay for gas, read this book! end","if you worry about how much you pay for gas, read this book! end. ccie prep.com's book is waste of money","[15, 857, 579]"
expensive: 38.39 is a ridiculous price for 12 red bull. especially considering they cost 2.09 in a store.,"38.39 is a ridiculous price for 12 red bull, especially considering they cost 2.09 in a store. thomas the train","[16, 30, 803]"
"eby dead! 12/27/02: contrary to dr. eby's claim, jesus did not return in his (eby's) lifetime. false prophet alert",dr. eby's claim that jesus did not return in his (eby's) lifetime is false prophet alert ,"[17, 890, 146]"
m. mead: everyons should read m. mead's research. her research explains many issues that remain current topics of contention.,joyce's work explains many issues that remain current topics of contention. in 2008 can be considered a little old. but still good ,"[18, 995, 729]"
beach boys and the satan: a totally off and enjoyable movie. all brian wilson fans should see this movie.,beach boys and the satan: a totally off and enjoyable movie. all brian wilson fans should see this movie.,"[19, 370, 721]"
second-best resource: this book is the second-best book on toefl after educational testing services' (ets) toefl book.,this book is the second-best book on toefl after educational testing services' (ets) toefl book. practice,"[20, 809, 513]"
indelible impact: sea runners will etch the coastline of british columbia in your mind. an awesome tale.,"sea runners will etch the coastline of british columbia in your mind. caribou hunting, by larry bar","[21, 534, 152]"
a quick read....: .......with basic factual info. a must have if you were recently diagnosed with partial seizures.,a must have if you were recently diagnosed with partial seizures..,"[22, 683, 838]"
great movie!: under the tuscan sun was such an enjoyable movie.diane lane is just great in the starring role.,under the tuscan sun was such an enjoyable movie. keanu reeves and charlize theron are,"[23, 366, 888]"
"gene: dated. doesn't tell ""how to beat the democrats..."" old, worn advice. save your money and buy something else.","gene: dated. doesn't tell ""how to beat the democrats..."" old, worn advice. save your money and buy something else.","[24, 641, 577]"
"rollerbomb: stupid, vapid, anemic remake of the 1975 film. buy the original instead.this film deserves zero stars.","rollerbomb: stupid, vapid, anemic remake of the 1975 film. the blob: excellent scifi movie.","[25, 163, 798]"
the alchemist: sure this is an interesting book. unfortunately the copy we received was written in spanish!,the translation from the original language (german) is unbelievably poor. i don't know if i can even finish,"[26, 940, 719]"
very bad quality!!!!!: this blu ray is horrible!!!the quality video is terrible!! is better an old whs!!!,the blu ray version is barely superior to the dvd...it is very grainy.not worth the upgrade.,"[27, 640, 293]"
story of the yardbirds: excellant dvd. had a lot of info i didn't know about the band. highly recommended.,story of the yardbirds: excellant dvd. had a lot of info i didn't know. high valley cd:,"[28, 326, 680]"
"low budget: some good action and scenery, but otherwise pretty low budget movie. only recommended for die-hard horror fans.","some good action and scenery, but otherwise pretty low budget movie. a great film for adults & children...dark but with lots of humor","[29, 992, 470]"
"thomas the train tracks: this is a good product, but highly over-priced. $10 for four pieces of track ???????","38.39 is a ridiculous price for 12 red bull, especially considering they cost 2.09 in a store. thomas the train","[16, 30, 803]"
"sega sports rules: best basketball game out there...most realistic, challenging and fun...street games are a great addition",sega sports rules is best basketball game out there. live 07 is garbage this is your best bet. bad graphics. bad game play,"[31, 731, 361]"
recent purchase: the book i ordered was exactly as described and delivery was even faster than promised.,the book i ordered was exactly as described. delivery was even faster than promised. prompt shipment and book is as ordered.,"[32, 654, 109]"
"1984: love the book, very appropriate for the time we live in. it arrived in the condition described.","1984: love the book, very appropriate for the time we live in. julie & julia: not the greatest book","[33, 954, 237]"
true prediction: on of the best and prophetic novels ever written about the descent into dehumanizing socialism.,"one of the best and prophetic novels ever written about the descent into dehumanizing socialism. a wonderful feminist novel, one of my","[34, 36, 220]"
america the beautiful: this book works great for teaching the song. the hardback cover is great for multiple uses.,this book works great for teaching the song. the hardback cover is great for multiple uses.,"[35, 779, 816]"
"wonderful feminist novel: this is a great, imaginative book, one of my favorites. i highly recommend it.","one of the best and prophetic novels ever written about the descent into dehumanizing socialism. a wonderful feminist novel, one of my","[34, 36, 220]"
disappointing. does not deserve to be a 'classic': length:: 3:49 minsfahrenheit 451fahrenheit 451: a novel,i was disappointed in the content of this book. i would not recommend it to anayone.,"[37, 274, 958]"
question of thought: how would nietzsche criticize ramana maharshi's philosophicaland ethical system of thought?,"nietzsche criticizes ramana maharshi's philosophical and ethical system of thought. garbage, and it was terribly","[38, 1000, 665]"
works well: this halti collar worked well at controlling my great dane. he learned not to pull very quickly.,this halti collar worked well at controlling my great dane. he learned not to pull very quickly. we bought this product to help,"[39, 893, 75]"
a near-perfect film.: completely absorbing and hypnotising; this is the single best movie i have ever seen.,'this is the single best movie i have ever seen' 'one of the greatest masterpieces of our time',"[40, 131, 460]"
the mark of the maker: the write-up was not good. this is definitely a children's book(?) very disappointed.,the write-up was not good. this is definitely a children's book(?) very disappointed. i thought this was a very,"[41, 235, 193]"
"great subsitute for sony memory stick: great subsitute for sony memory stick. cost less, same quality","sony a100h: great subsitute for sony memory stick. cost less, same quality. dualdisc contains no enhanced audio","[42, 644, 205]"
slow going: hardly anything past exotic stepcercise playing at your local gym save the oft-cited and featured-elsewhere png.,"the routines on this video are realistic to follow. buy any album by skinny puppy if you want a message delivered with power, sans the","[43, 105, 711]"
invaluable: the authors have provided the quintessential study guide to the canterbury tales. this book is invaluable.,"the authors have provided the quintessential study guide to the canterbury tales. this book offers beautiful writing, a deep spirituality","[44, 604, 653]"
recommend this seller: i recieved this book on time and in excellent condition. i'd definitely recommend this seller.,i recieved this book on time and in excellent condition. i'd definitely recommend this seller.,"[45, 100, 427]"
xtreme white plus bulbs: the piaa bulbs are much brighter and whiter than oem bulbs. very pleased with them.,"piaa bulbs are much brighter and whiter than oem bulbs. i bought these for my wife, and she loves them","[46, 466, 255]"
"first knight (cassette): excellent service, prompt delivery, excellent conditonas described, packaged well.would use again.","fantastic: great service, quick shipping, no hassles, item was in perfect condition. no complaints at all.","[47, 487, 872]"
awful service: worst magazine ever!! i paid for a subscription for my boyfriend and he only received 2 issues!!!,"worst service: paid for a subscription for my boyfriend and he only received 2 issues!!!. worst book ever: a lot of hype,","[48, 385, 847]"
this book was very good i loved the suspense: there wasn't enough romance though.i wish her books were longer,this book was very good i loved the suspense: there wasn't enough romance though.i wish her books were longer. as with,"[49, 291, 437]"
"works as advertised: good product, works just as described. easy to install. have not had any problems thus far.","good product, works just as described. easy to install. have not had any problems thus far. great purchase: installed in seconds. great performance. excellent","[50, 73, 309]"
very cryptic details: not suited for beginner's should have qiute lucid explationsi dont recommend for new commers to java,not suited for beginner's should have qiute lucid explationsi dont recommend for new commers to java.,"[51, 523, 795]"
"keepin' that java warm!: it's workin' great, beav! keeps the mug warm while i'm on the computor! buy it!!",keepin' that java warm! keeps the mug warm while i'm on the computor! buy it!!!,"[52, 396, 280]"
"what you will need to begin to sew: boring, speaker very unenthusiastic, not enough sewing information","boring, speaker very unenthusiastic, not enough sewing information. falling apart after one washing!: not very good quality. kind of scratch","[53, 259, 685]"
boring and hard to watch/listen: waste of money. i purchased all 7 and gave them away. hard to watch.,i purchased all 7 and gave them away. hard to watch/listen: waste of money. i found myself not caring about the main character and,"[54, 750, 324]"
excellent season 9: it's another one of smallville's excellent seasons. highly recommendable for any fan of the series.,"this is an incredible originally-on-television miniseries. fun and very well done. highly recommended book, my favorite of castane","[55, 869, 181]"
moonstruck: great performances by all of the cast. cher & cage's transformation is always a knock out.,i loved batman returns. such a classic. great solid performances by michelle pheifer and danny devito.,"[56, 477, 720]"
"another bernbaum masterpiece: great recipes, easy to follow. if you like the cake bible this is a perfect companion.",this is my fourth-grade son's favorite book. he loves cooking and this book is fun with great recipes.,"[57, 256, 112]"
"not worth it: this case offers very little protection, and most of the phone is exposed. not worth it...","this case offers very little protection, and most of the phone is exposed. not worth it....","[58, 939, 423]"
tremendously insightful: outstanding history from robert e. lee's most important aide. tremendously insightful into lee and the anva,outstanding history from robert e. lee's most important aide. tremendously insightful into lee and the anva ,"[59, 920, 825]"
product misrepresented: discription says 2-2pound wrist weights. product received was 2-1pound wrist weights. a deceptive rip-off!,discription says 2-2pound wrist weights. product received was 2-1pound wrist weights. a deceptive rip-off!,"[60, 793, 718]"
a little disappointing: a whole bunch of commercials and a couple articles and even less pictures worth looking at.,"shipping and dvd itself was great...the story and acting was not that great...very disappointing. mediocre performances, and most of the songs have nothing","[61, 482, 234]"
greg: the high ceilings is a great band. max heinegg is a musical genius. i recommend all thier albums.,the high ceilings is a great band. max heinegg is a musical genius. if you like the blind boys you',"[62, 747, 864]"
the third secret: what a fast read...well researched and edge of your seat...a great combination for the voracious reader.,the third secret is a fast read...well researched and edge of your seat. everyone should attempt this book-hint stick with it for 150,"[63, 595, 737]"
very interesting and informative: i have always been interested in weird things and this fills my need,i have always been interested in weird things and this fills my need. i found this book facsinating and spoke so directly to,"[64, 157, 828]"
bottom line.....i just love michael caine: clever acting...and just superb! now...when is this movie going to be on dvd?????,the five pennies is a childhood favourite of mine and my partners. i can't wait for the sequel which is in pre-production,"[65, 748, 671]"
hp photosmart 2575 all-in-one printer: the printer was received as promised and it worked perfectly. very satisfied.,"hp photosmart 2575 all-in-one printer was received as promised and it worked perfectly. however, it was shipped with wrong","[66, 539, 444]"
"perfect: the item was delivered earlier than expected, arrived exactly as described (new), and a perfect transaction. thank you!!!!!","the item was delivered earlier than expected, arrived exactly as described (new) seller had good communication and shipment was fast. item arrived in good condition. very","[67, 457, 346]"
funny: this movie is very funny and entertaining but using the mario brothers name maybe they shouldn't have.,"this being mario i thought this would be good.i was very, very, very wrong. very wrong. this is one of the stupidi","[68, 69, 486]"
"worst. movie. ever.: this being mario i thought this would be good.i was very, very, very wrong. very wrong.","this being mario i thought this would be good.i was very, very, very wrong. very wrong. this is one of the stupidi","[68, 69, 486]"
this blue-ray is wonderful...: porcupine tree is amazing! essential for anyone who likes rock and roll.anesthetize (dvd + blu-ray),the sound of music - anniversary edition is a true classic. many extras that you won't find on dvd.,"[70, 831, 471]"
kodak digital camera: easy to use and takes great shots. i recommend buying an extra card for extra pictures.,kodak digital camera: easy to use and takes great shots. sony cybershot dscw90 8.1mp digital,"[71, 674, 739]"
